,id,name,geometry
0,444,Broadway & W 24 St,POINT (-73.98915076 40.7423543)
2,406,Hicks St & Montague St,POINT (-73.99595065 40.69512845)
3,475,E 15 St & Irving Pl,POINT (-73.98758561 40.73524276)
4,2008,Little West St & 1 Pl,POINT (-74.01677685 40.70569254)
5,485,W 37 St & 5 Ave,POINT (-73.98338988 40.75038009)
6,285,Broadway & E 14 St,POINT (-73.99074142000001 40.73454567)
7,509,9 Ave & W 22 St,POINT (-74.00197138999999 40.7454973)
8,265,Stanton St & Chrystie St,POINT (-73.99147535 40.72229346)
9,404,9 Ave & W 14 St,POINT (-74.00550867 40.7405826)
10,423,W 54 St & 9 Ave,POINT (-73.98690506 40.76584941)
11,502,Henry St & Grand St,POINT (-73.981346 40.714215)
12,241,DeKalb Ave & S Portland Ave,POINT (-73.97493120999999 40.68981035)
13,486,Broadway & W 29 St,POINT (-73.98855723 40.7462009)
14,527,E 33 St & 2 Ave,POINT (-73.976056 40.744023)
15,309,Murray St & West St,POINT (-74.013012 40.7149787)
17,503,E 20 St & Park Ave,POINT (-73.98751968000001 40.73827428)
18,257,Lispenard St & Broadway,POINT (-74.00247213999999 40.71939226)
20,494,W 26 St & 8 Ave,POINT (-73.99723551 40.74734825)
21,380,W 4 St & 7 Ave S,POINT (-74.00293877 40.73401143)
22,305,E 58 St & 3 Ave,POINT (-73.96724467 40.76095756)
23,480,W 53 St & 10 Ave,POINT (-73.99061728 40.76669671)
24,453,W 22 St & 8 Ave,POINT (-73.99915362 40.74475148)
25,223,W 13 St & 7 Ave,POINT (-73.99994660999999 40.73781509)
26,476,E 31 St & 3 Ave,POINT (-73.97966069 40.74394314)
27,151,Cleveland Pl & Spring St,POINT (-73.99724900722505 40.72210378668603)
28,312,Allen St & Stanton St,POINT (-73.98911099999999 40.722055)
30,482,W 15 St & 7 Ave,POINT (-73.99931783 40.73935542)
31,439,E 4 St & 2 Ave,POINT (-73.98978040999999 40.7262807)
32,531,Forsyth St & Broome St,POINT (-73.99266288 40.71893904)
34,358,Christopher St & Greenwich St,POINT (-74.00711384 40.73291553)
35,355,Bayard St & Baxter St,POINT (-73.99974372 40.71602118)
36,83,Atlantic Ave & Fort Greene Pl,POINT (-73.97632328 40.68382604)
38,271,Ashland Pl & Hanson Pl,POINT (-73.97800147533417 40.68522671947255)
39,445,E 10 St & Avenue A,POINT (-73.98142006 40.72740794)
40,477,W 41 St & 8 Ave,POINT (-73.9900262 40.75640548)
41,293,Lafayette St & E 8 St,POINT (-73.99102628231049 40.73020660529954)
44,493,W 45 St & 6 Ave (1),POINT (-73.98291153 40.7568001)
45,473,Rivington St & Chrystie St,POINT (-73.99192540000001 40.72110063)
48,489,10 Ave & W 28 St,POINT (-74.00176802 40.75066386)
51,517,Pershing Square South,POINT (-73.97790999999999 40.751581)
52,2004,6 Ave & Broome St,POINT (-74.004704 40.724399)
54,3019,NYCBS Depot - DEL,POINT (-73.981933 40.716633)
55,249,Harrison St & Hudson St,POINT (-74.0090009 40.71870987)
56,432,E 7 St & Avenue A,POINT (-73.98379855 40.72621788)
57,79,Franklin St & W Broadway,POINT (-74.00666661 40.71911552)
58,72,W 52 St & 11 Ave,POINT (-73.99392888 40.76727216)
59,465,Broadway & W 41 St,POINT (-73.98658032 40.75513557)
60,247,Perry St & Bleecker St,POINT (-74.00483091 40.73535398)
61,412,Forsyth St & Canal St,POINT (-73.99422366 40.71581550000001)
62,521,8 Ave & W 31 St N,POINT (-73.99444207549095 40.75096734871597)
64,490,8 Ave & W 33 St,POINT (-73.993934 40.751551)
66,369,Washington Pl & 6 Ave,POINT (-74.00026394 40.73224119)
67,505,6 Ave & W 33 St,POINT (-73.98848395 40.74901271)
70,510,W 51 St & 6 Ave,POINT (-73.98042047 40.7606597)
71,389,Broadway & Berry St,POINT (-73.96525063 40.71044554)
72,492,W 33 St & 7 Ave,POINT (-73.99093085 40.75019995)
74,236,St Marks Pl & 2 Ave,POINT (-73.98713956 40.7284186)
75,2009,Catherine St & Monroe St,POINT (-73.99682618999999 40.71117444)
77,357,E 11 St & Broadway,POINT (-73.99158043 40.73261787)
81,532,S 5 Pl & S 5 St,POINT (-73.960876 40.710451)
83,229,Great Jones St,POINT (-73.99379025 40.72743423)
84,303,Mercer St & Spring St,POINT (-73.99949601 40.72362738)
85,470,W 20 St & 8 Ave,POINT (-74.00004031 40.74345335)
88,354,Emerson Pl & Myrtle Ave,POINT (-73.96223558 40.69363137)
