,id,name,geometry
297594,317,E 6 St & Avenue B,POINT (-73.98185424 40.72453734)
301339,319,Fulton St & Broadway,POINT (-74.00944699999999 40.711066)
306049,320,Leonard St & Church St,POINT (-74.005549 40.717571)
308448,321,Cadman Plaza E & Red Cross Pl,POINT (-73.98971773 40.69991755)
311316,322,Clinton St & Tillary St,POINT (-73.991218 40.696192)
312931,323,Lawrence St & Willoughby St,POINT (-73.98631746 40.69236178)
313326,324,DeKalb Ave & Hudson Ave,POINT (-73.981013 40.689888)
315609,325,E 19 St & 3 Ave,POINT (-73.98473765 40.73624527)
318901,326,E 11 St & 1 Ave,POINT (-73.98426726 40.72953837)
323725,327,Vesey Pl & River Terrace,POINT (-74.01658354 40.71533789999999)
331630,328,Watts St & Greenwich St,POINT (-74.00965965 40.72405549)
335616,330,Reade St & Broadway,POINT (-74.00562789 40.71450451)
338331,331,Pike St & Monroe St,POINT (-73.99193043 40.71173107)
340259,332,Cherry St,POINT (-73.97948148 40.71219906)
342252,334,W 20 St & 7 Ave,POINT (-73.99726235 40.74238787)
347470,335,Washington Pl & Broadway,POINT (-73.99404649 40.72903917)
350993,336,Sullivan St & Washington Sq,POINT (-73.99906065 40.73047747)
356567,337,Old Slip & Front St,POINT (-74.00838675999999 40.70379920000001)
358762,339,Avenue D & E 12 St,POINT (-73.97422494 40.72580614)
360352,340,Madison St & Clinton St,POINT (-73.98776323 40.71269042)
362443,341,Stanton St & Mangin St,POINT (-73.97628939000001 40.71782143)
364235,342,Columbia St & Rivington St,POINT (-73.98016555 40.71739973)
366160,343,Clinton Ave & Flushing Ave,POINT (-73.96986848 40.69794)
367047,344,Monroe St & Bedford Ave,POINT (-73.95380904 40.6851443)
368291,345,W 13 St & 6 Ave,POINT (-73.99704374 40.73649403)
372869,346,Bank St & Hudson St,POINT (-74.00618025999999 40.73652889)
376561,347,Greenwich St & W Houston St,POINT (-74.00859100000001 40.728846)
382408,349,Rivington St & Ridge St,POINT (-73.98329859 40.71850211)
384844,350,Clinton St & Grand St,POINT (-73.98702950000001 40.71559509)
387996,351,Front St & Maiden Ln,POINT (-74.00612572 40.70530954)
391252,353,S Portland Ave & Hanson Pl,POINT (-73.97431458 40.68539567)
392524,354,Emerson Pl & Myrtle Ave,POINT (-73.96223558 40.69363137)
394183,355,Bayard St & Baxter St,POINT (-73.99974372 40.71602118)
397819,356,Bialystoker Pl & Delancey St,POINT (-73.98261205999999 40.71622644)
399855,357,E 11 St & Broadway,POINT (-73.99158043 40.73261787)
402039,358,Christopher St & Greenwich St,POINT (-74.00711384 40.73291553)
410953,359,E 47 St & Park Ave,POINT (-73.97498696 40.75510267)
418333,360,William St & Pine St,POINT (-74.00887308 40.70717936)
420683,361,Allen St & Hester St,POINT (-73.99190759 40.71605866)
425462,362,Broadway & W 37 St,POINT (-73.98753523000001 40.75172632)
427412,363,West Thames St,POINT (-74.01713445 40.70834698)
432035,364,Lafayette Ave & Classon Ave,POINT (-73.96023854000001 40.68900443)
433886,365,Fulton St & Grand Ave,POINT (-73.9614583 40.68223166)
435115,366,Clinton Ave & Myrtle Ave,POINT (-73.968896 40.693261)
437404,368,Carmine St & 6 Ave,POINT (-74.00214988 40.73038599)
446618,369,Washington Pl & 6 Ave,POINT (-74.00026394 40.73224119)
449911,372,Franklin Ave & Myrtle Ave,POINT (-73.95801365375519 40.69454608724602)
450713,373,Willoughby Ave & Walworth St,POINT (-73.95381995 40.69331716)
451275,376,John St & William St,POINT (-74.00722156 40.70862144)
453771,377,6 Ave & Canal St,POINT (-74.00566443 40.72243797)
458579,379,W 31 St & 7 Ave,POINT (-73.99160000000001 40.749156)
465675,380,W 4 St & 7 Ave S,POINT (-74.00293877 40.73401143)
471541,382,University Pl & E 14 St,POINT (-73.99200509000001 40.73492695)
479314,383,Greenwich Ave & Charles St,POINT (-74.000271 40.735238)
484094,386,Centre St & Worth St,POINT (-74.00234482 40.71494807)
486741,387,Centre St & Chambers St,POINT (-74.0046073 40.71273266)
495007,388,W 26 St & 10 Ave,POINT (-74.00295034600001 40.749717753)
498998,389,Broadway & Berry St,POINT (-73.96525063 40.71044554)
501563,390,Duffield St & Willoughby St,POINT (-73.98428440000001 40.69221589)
504400,391,Clark St & Henry St,POINT (-73.99344558999999 40.69760127)
507410,392,Jay St & Tech Pl,POINT (-73.987167 40.695065)
509944,393,E 5 St & Avenue C,POINT (-73.97995466 40.72299208)
512145,394,E 9 St & Avenue C,POINT (-73.97768752 40.72521311)
516137,396,Lefferts Pl & Franklin Ave,POINT (-73.9557689392 40.680342423)
517146,397,Fulton St & Clermont Ave,POINT (-73.96922273 40.68415748)
518023,398,Atlantic Ave & Furman St,POINT (-73.99997859999999 40.69165183)
521282,399,Lafayette Ave & St James Pl,POINT (-73.9647628 40.68851534)
522855,400,Pitt St & Stanton St,POINT (-73.98178024000001 40.71926081)
523961,401,Allen St & Rivington St,POINT (-73.98997824999999 40.72019576)
529029,402,Broadway & E 22 St,POINT (-73.98955109000001 40.74034320000001)
538605,403,E 2 St & 2 Ave,POINT (-73.99069656 40.72502876)
545580,405,Washington St & Gansevoort St,POINT (-74.00811899999999 40.739323)
552554,406,Hicks St & Montague St,POINT (-73.99595065 40.69512845)
554867,407,Henry St & Poplar St,POINT (-73.991454 40.700469)
556161,408,Market St & Cherry St,POINT (-73.99400398 40.71076228)
558175,409,DeKalb Ave & Skillman St,POINT (-73.95643106999999 40.6906495)
559210,410,Suffolk St & Stanton St,POINT (-73.98517977 40.72066442)
564110,411,E 6 St & Avenue D,POINT (-73.97668709 40.72228087)
566160,412,Forsyth St & Canal St,POINT (-73.99422366 40.71581550000001)
570852,414,Pearl St & Anchorage Pl,POINT (-73.98765761999999 40.70281858)
572954,415,Pearl St & Hanover Square,POINT (-74.00926027 40.7047177)
575726,416,Cumberland St & Lafayette Ave,POINT (-73.97265183 40.68753406)
577285,417,Barclay St & Church St,POINT (-74.01020234000001 40.71291224)
582270,418,Front St & Gold St,POINT (-73.982578 40.70224)
583742,419,Carlton Ave & Park Ave,POINT (-73.97355569 40.69580705)
584477,420,Clermont Ave & Lafayette Ave,POINT (-73.96968902 40.68764484)
585701,421,Clermont Ave & Park Ave,POINT (-73.97129667999999 40.69573398)
586405,422,W 59 St & 10 Ave,POINT (-73.988038 40.770513)
589935,423,W 54 St & 9 Ave,POINT (-73.98690506 40.76584941)
593726,426,West St & Chambers St,POINT (-74.01322069 40.71754834)
606096,427,Bus Slip & State St,POINT (-74.013942 40.701907)
609254,432,E 7 St & Avenue A,POINT (-73.98379855 40.72621788)
615649,433,E 13 St & Avenue A,POINT (-73.98057249 40.72955361)
621561,435,W 21 St & 6 Ave,POINT (-73.99415556 40.74173969)
631996,436,Hancock St & Bedford Ave,POINT (-73.95399026 40.68216564)
632768,437,Macon St & Nostrand Ave,POINT (-73.95004797590001 40.6809833854)
634404,438,St Marks Pl & 1 Ave,POINT (-73.98564945 40.72779126)
639921,439,E 4 St & 2 Ave,POINT (-73.98978040999999 40.7262807)
639922,440,E 45 St & 3 Ave,POINT (-73.97282625 40.75255434)
643004,441,E 52 St & 2 Ave,POINT (-73.967416 40.756014)
646336,442,W 27 St & 7 Ave,POINT (-73.993915 40.746647)
652144,443,Bedford Ave & S 9 St,POINT (-73.96408963 40.70853074)
652795,445,E 10 St & Avenue A,POINT (-73.98142006 40.72740794)
659069,446,W 24 St & 7 Ave,POINT (-73.99529885 40.74487634)
665841,447,8 Ave & W 52 St,POINT (-73.9851615 40.76370739)
670931,448,W 37 St & 10 Ave,POINT (-73.9979009 40.75660359)
675615,450,W 49 St & 8 Ave,POINT (-73.98788205 40.76227205)
681931,453,W 22 St & 8 Ave,POINT (-73.99915362 40.74475148)
688200,454,E 51 St & 1 Ave,POINT (-73.96592975999999 40.75455731)
690468,455,1 Ave & E 44 St,POINT (-73.96905301 40.75001986)
