,address,lng,lat
121,20 BAY RIDGE AVENUE,-74.0351774,40.6384729
122,40 BAY RIDGE AVENUE,-74.0346373,40.6383113
123,320 74TH STREET,-74.0267606,40.6318952
124,360 86TH STREET,-74.02933999999999,40.622766
125,60 BATTERY AVENUE,-74.0233678,40.6176997
126,360 90TH STREET,-73.977668,40.7919413
127,370 90TH STREET,-74.030349,40.6200842
128,340 91ST STREET,-74.031309,40.6196741
129,340 93RD STREET,-73.94677399999999,40.781007
130,350 93RD STREET,-74.0316447,40.6179545
131,440 97TH STREET,-87.63550769999999,41.7181494
132,430 101ST STREET,-74.03352210000001,40.611639
133,110 BATTERY AVENUE,-74.0242607,40.6166319
134,6830 SHORE ROAD,-74.03590059999999,40.6390584
135,6910 SHORE ROAD,-74.0360714,40.6384956
136,50 92ND STREET,-73.87187999999999,40.74043
137,110 96TH STREET,-73.9685168,40.7929895
138,9510 SHORE ROAD,-74.0383281,40.6164424
139,9930 SHORE ROAD,0.0,0.0
140,9920 4TH AVENUE,-74.03395979999999,40.6132295
141,9920 4 AVENUE,-74.03395979999999,40.6132295
142,10000 4 AVENUE,-74.0336566,40.6128221
143,230 BAY RIDGE PARKWAY,-74.029605,40.6316376
144,620 90TH STREET,-122.2422592,47.91575650000001
145,6900 4 AVENUE,-74.0238613,40.6345487
146,460 86TH STREET,-74.027008,40.621625
147,350 OVINGTON AVENUE,-74.02522580000002,40.6340939
148,250 BAY RIDGE AVENUE,-74.0273519,40.635843
149,1090 DEKALB AVENUE,-73.9307237,40.6935516
150,1040 LAFAYETTE AVE,-78.8596515,42.9209567
151,1040 LAFAYETTE AVENUE,-73.93028699999999,40.6920659
152,490 VAN BUREN STREET,-73.92893169999999,40.6915191
153,470 VAN BUREN STREET,-73.9295747,40.6914561
154,790 GREENE AVENUE,-73.9367743,40.6898837
155,790 QUINCY STREET,-73.928151,40.6893605
156,780 MONROE STREET,-76.8192739,40.2328666
157,690 MADISON STREET,-73.9305056,40.6868471
158,680 MADISON STREET,-73.97056549999999,40.7651975
159,750 PUTNAM AVENUE,-73.9317226,40.685958
160,130 PATCHEN AVENUE,-73.927099,40.6870805
161,880 PUTNAM AVENUE,-73.56067809999999,40.6973866
162,920 PUTNAM AVENUE,-73.925163,40.686646
163,810 JEFFERSON AVENUE,-86.1240296,39.7783733
164,500 HANCOCK STREET,-73.9350407,40.6841221
165,450 DECATUR STREET,-73.924819,40.682192
166,260 BAINBRIDGE STREET,-73.926558,40.681219
167,180 KOSCIUSZKO STREET,-73.9475645,40.6908642
168,570 LAFAYETTE AVENUE,-74.155892,40.957627
169,270 CLIFTON PLACE,-73.953518,40.688622
170,450 GREENE AVENUE,-73.9527667,40.6880349
171,50 VAN BUREN STREET,-86.784663,36.1831039
172,70 VAN BUREN STREET,-73.9427903,40.6899479
173,370 QUINCY STREET,-73.94619999999999,40.6872941
174,420 QUINCY STREET,-73.94404399999999,40.687473
175,410 QUINCY STREET,-87.9442984,41.797513
176,400 QUINCY STREET,-98.4903776,29.436257
177,310 MONROE STREET,-74.039399,40.7420701
178,360 MONROE STREET,-104.944629,39.722064
179,290 PUTNAM AVENUE,-73.94942499999999,40.68385
180,270 PUTNAM AVE,-72.92356339999999,41.3439595
181,240 JEFFERSON AVENUE,-73.9480828,40.6833507
182,120 HANCOCK STREET,-71.096876,42.7758621
183,80 HERKIMER STREET,-73.9508239,40.6794651
184,110 CLIFTON PLACE,-73.96015799999999,40.688099
185,100 CLIFTON PLACE,-74.064326,40.7210672
